Start,End,Equipment ID,Error Type,Status
2017-07-21 14:45:10.0,2017-07-23 08:30:10.0,ch1,TRIP,Historical
2017-07-31 00:23:10.0,2017-07-31 11:36:10.0,ch1,TRIP,Historical
2017-07-31 00:23:10.0,2017-07-31 11:35:10.0,ch2,TRIP,Historical
2017-07-19 11:59:10.0,2017-07-20 10:41:10.0,ch3,TRIP,Historical
2017-07-08 05:10:10.0,2017-07-10 07:18:10.0,ch4,TRIP,Historical
2017-07-17 13:32:10.0,2017-07-17 13:50:10.0,ch4,TRIP,Historical
2017-07-17 13:59:10.0,2017-07-17 14:53:10.0,ch4,TRIP,Historical
2017-07-17 15:03:10.0,2017-07-17 16:01:10.0,ch4,TRIP,Historical
2017-07-17 16:10:10.0,2017-07-20 10:37:10.0,ch4,TRIP,Historical
2017-07-21 16:56:10.0,2017-07-23 08:29:10.0,ch4,TRIP,Historical
2017-07-27 18:37:03.0,2017-07-27 21:56:03.0,ch1,FLOW SWITCH,Historical
2017-07-14 15:24:03.0,2017-07-14 17:53:03.0,ch1,INV MALFUNCTION,Historical
2017-07-14 18:15:03.0,2017-07-14 18:55:03.0,ch1,INV MALFUNCTION,Historical
2017-07-14 19:22:03.0,2017-07-14 23:31:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 07:26:03.0,2017-07-15 07:54:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 10:10:03.0,2017-07-15 10:40:02.0,ch1,INV MALFUNCTION,Historical
2017-07-15 12:01:03.0,2017-07-15 12:23:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 13:06:03.0,2017-07-15 13:34:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 14:19:03.0,2017-07-15 14:47:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 15:20:03.0,2017-07-15 15:48:03.0,ch1,INV MALFUNCTION,Historical
2017-07-15 16:21:03.0,2017-07-15 16:48:03.0,ch1,INV MALFUNCTION,Historical
2017-07-24 11:08:03.0,2017-07-24 13:38:03.0,ch1,INV MALFUNCTION,Historical
2017-07-21 14:45:03.0,2017-07-23 08:30:03.0,ch1,INV COMPRESSOR TEMPERATURE,Historical
2017-07-31 00:23:03.0,2017-07-31 11:36:03.0,ch1,INVERTER MALFUNCTION,Historical
2017-07-27 18:37:03.0,2017-07-27 21:56:03.0,ch1,MS LOW PRESSURE SWITCH,Historical
2017-07-14 15:24:03.0,2017-07-17 11:35:03.0,ch1,MS MOTOR OVERLOAD,Historical
2017-07-24 11:08:03.0,2017-07-24 13:38:03.0,ch1,MS MOTOR OVERLOAD,Historical
2017-07-14 15:24:03.0,2017-07-14 17:54:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-14 18:20:03.0,2017-07-14 18:56:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-14 19:27:03.0,2017-07-14 23:31:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 07:31:03.0,2017-07-15 07:54:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 10:15:03.0,2017-07-15 10:41:02.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
2017-07-15 12:06:03.0,2017-07-15 12:23:03.0,ch1,MS COMPRESSOR MALFUNCTION,Historical
